Matricola;Cognome;Nome;DataNascita;LuogoNascita;Via;Cap;Citta;SiglaProvincia;Telefono;Email;TitoloStudio
10000;Sacchet;Gabriele;01/01/2000;Torino;Via Cibrario, NN;10143;Torino;TO;3300000000;sacchet.gabriele@studenti.its.net;Diploma
10001;Schutt;Daniele;02/01/2000;Torino;Via Cibrario, NN;10143;Torino;TO;3300000001;schutt.daniele@studenti.its.net;Diploma
10002;Pietrapertosa;Fabio;03/01/2000;Torino;Via Cibrario, NN;10143;Torino;TO;3300000002;pietrapertosa.fabio@studenti.its.net;Diploma
10003;Buscema;Antonio;04/01/2000;Torino;Via Cibrario, NN;10143;Torino;TO;3300000003;buscema.antonio@studenti.its.net;Diploma
10004;Gregoricchio;Matteo;05/01/2000;Torino;Via Cibrario, NN;10143;Torino;TO;3300000004;gregoricchio.matteo@studenti.its.net;Diploma
10005;Laurenti;Diana;06/01/2000;Torino;Via Cibrario, NN;10143;Torino;TO;3300000005;laurenti.diana@studenti.its.net;Diploma
10006;Velocci;Giuseppe;07/01/2000;Torino;Via Cibrario, NN;10143;Torino;TO;3300000006;velocci.giuseppe@studenti.its.net;Diploma
10007;Reale;Andrea;08/01/2000;Torino;Via Cibrario, NN;10143;Torino;TO;3300000007;reale.andrea@studenti.its.net;Diploma
10008;Cella;Marco;09/01/2000;Torino;Via Cibrario, NN;10143;Torino;TO;3300000008;cella.marco@studenti.its.net;Diploma
10009;Sartori;Alessandro;10/01/2000;Torino;Via Cibrario, NN;10143;Torino;TO;3300000009;sartori.alessandro@studenti.its.net;Diploma
10010;Gomes Macedo;Anielle;11/01/2000;Torino;Via Cibrario, NN;10143;Torino;TO;3300000010;gomesmacedo.anielle@studenti.its.net;Diploma
10011;Bert;Lorenzo;12/01/2000;Torino;Via Cibrario, NN;10143;Torino;TO;3300000011;bert.lorenzo@studenti.its.net;Diploma
10012;Vellano;Marco;13/01/2000;Torino;Via Cibrario, NN;10143;Torino;TO;3300000012;vellano.marco@studenti.its.net;Diploma
10013;Fornaro;Roberto;14/01/2000;Torino;Via Cibrario, NN;10143;Torino;TO;3300000013;fornaro.roberto@studenti.its.net;Diploma
10014;Sinatra;Gianpaolo;15/01/2000;Torino;Via Cibrario, NN;10143;Torino;TO;3300000014;sinatra.gianpaolo@studenti.its.net;Diploma
10015;Dumitru;Adrian;16/01/2000;Torino;Via Cibrario, NN;10143;Torino;TO;3300000015;dumitru.adrian@studenti.its.net;Diploma
10016;Soncin;Erika;17/01/2000;Torino;Via Cibrario, NN;10143;Torino;TO;3300000016;soncin.erika@studenti.its.net;Diploma
10017;Iacobelli;Sara;18/01/2000;Torino;Via Cibrario, NN;10143;Torino;TO;3300000017;iacobelli.sara@studenti.its.net;Diploma
10018;Presutti;Edoardo;19/01/2000;Torino;Via Cibrario, NN;10143;Torino;TO;3300000018;presutti.edoardo@studenti.its.net;Diploma
10019;Linari;Matteo;20/01/2000;Torino;Via Cibrario, NN;10143;Torino;TO;3300000019;linari.matteo@studenti.its.net;Diploma
10020;Faoro;Claudio;21/01/2000;Torino;Via Cibrario, NN;10143;Torino;TO;3300000020;faoro.claudio@studenti.its.net;Diploma
10021;D'Augelli;Mario Alex;22/01/2000;Torino;Via Cibrario, NN;10143;Torino;TO;3300000021;daugelli.marioalex@studenti.its.net;Diploma
10022;Morales Guevara;Yusdel;23/01/2000;Torino;Via Cibrario, NN;10143;Torino;TO;3300000022;moralesguevara.yusdel@studenti.its.net;Diploma
10023;Lo Presti;Ilaria;24/01/2000;Torino;Via Cibrario, NN;10143;Torino;TO;3300000023;lopresti.ilaria@studenti.its.net;Diploma
10024;Mason;Alessandro;25/01/2000;Torino;Via Cibrario, NN;10143;Torino;TO;3300000024;mason.alessandro@studenti.its.net;Diploma
10025;Quasimodo;Daniele;26/01/2000;Torino;Via Cibrario, NN;10143;Torino;TO;3300000025;quasimodo.daniele@studenti.its.net;Diploma
10026;Morritti;Sara;27/01/2000;Torino;Via Cibrario, NN;10143;Torino;TO;3300000026;morritti.sara@studenti.its.net;Diploma
